Generation,AverageFitness
1,509
2,1055.5
3,1173
4,1197.25
5,1287
6,986.25
7,1003.5
8,1244.25
9,1387
10,1391.5
Symbol Set,Expansion Size,Mutation Chance,Mutation Type,Best Fitness,Time Taken (s)
"F ",1,60,30,10,RULE,1700,3.35734
Generation,AverageFitness
1,227
2,239.25
3,321.75
4,332
5,347.25
6,342.25
7,321.25
8,403.75
9,647
10,846.25
"F ",1,40,30,30,RULE,1133,3.11618
Generation,AverageFitness
1,668.5
2,943.5
3,1481.75
4,1612
5,1249.5
6,1564.25
7,1564.25
8,1683
9,1593.5
10,1620.5
"F ",1,50,40,10,RULE,1700,3.47339
Generation,AverageFitness
1,574
2,1047.25
3,1126.75
4,1360
5,1528.75
6,1645.5
7,1566.25
8,1770.5
9,1496.5
10,1791.25
"F ",1,100,0,0,RULE,2000,4.3136
Generation,AverageFitness
1,1034.25
2,870.25
3,1398.75
4,1376
5,1374
6,1691.25
7,1874.75
8,1883.25
9,2000
10,1958.25
"F ",3,60,30,10,RULE,2000,2.74253
Generation,AverageFitness
1,332.25
2,597.75
3,1116.75
4,1230
5,972.5
6,1116.75
7,972.5
8,1140.25
9,972.5
10,1230
"F ",3,40,30,30,RULE,1242,2.77027
Generation,AverageFitness
1,185
2,199
3,184
4,198
5,200
6,206
7,212
8,215
9,212
10,213
"F ",3,50,40,10,RULE,232,3.0298
